url,allinfo,detailTitle,price,detailDesc
https://nj.lianjia.com/xiaoqu/1411046705977,"1992年建成 ,板楼,0.5元/平米/月,街道办事处（委员会）代管物业,南京市下关城市建设开发（集团）公司,6栋,154户,/鼓楼区东妙峰庵中海凯旋门A3幢5室商铺",大桥南路16号,23222,(鼓楼建宁路)大桥南路16号
https://nj.lianjia.com/xiaoqu/1411046768776,"1984年建成 ,板楼,0.5元/平米/月,街道办事处（委员会）代管物业,南京市政建设开发有限公司,1栋,30户,/秦淮区马府新街1栋6-3号",太平街,26461,(秦淮建康路)太平门街6号
https://nj.lianjia.com/xiaoqu/2511052605826,"暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,2栋,50户,/浦口区浦口北路139号万江共和新城地和30幢102室",新马路,22510,(浦口桥北)新马路
https://nj.lianjia.com/xiaoqu/2511051339887,"2000年建成 ,塔板结合,0.3元/平米/月,街道办事处（委员会）代管物业,南京市江宁城镇建设综合开发总公司,4栋,132户,/江宁区文靖路文靖新村359号",文华街,22109,(江宁东山镇)东山镇文华街
https://nj.lianjia.com/xiaoqu/1411043430004,"2017年建成 ,板楼,暂无信息,无物业管理服务,无开发商,2栋,84户,/秦淮区马道街38号",双塘园2号,21923,(秦淮长乐路)双塘园2号
https://nj.lianjia.com/xiaoqu/1411045033836,"1985年建成 ,塔板结合,4元/平米/月,南京金居物业管理有限公司,南京宏运房地产开发有限公司,1栋,120户,/秦淮区御河苑6幢103室",正阳大厦,21698,(秦淮大光路)御道街56号
https://nj.lianjia.com/xiaoqu/1411000000113,"暂无信息 ,板楼,暂无信息,南京德基房地产发展有限公司,南京德基房地产发展有限公司,1栋,176户,/玄武区安将军巷10号5单元109室",德基大厦,21683,(玄武长江路)长江路188号
https://nj.lianjia.com/xiaoqu/2511050750860,"2017年建成 ,板楼,暂无信息,无物业管理服务,南京城市建设开发（集团）总公司,1栋,12户,/秦淮区常府街10号-1",棉鞋营23楼房,21281,(秦淮常府街)棉鞋营23号
https://nj.lianjia.com/xiaoqu/1411046456868,"暂无信息 ,板楼/塔板结合,暂无信息,无物业管理服务,南京市建邺房地产开发公司,7栋,56户,/建邺区莫愁湖东路12号（二道埂子28号A幢1-2层）",水西门外大街,20857,(建邺南湖)水西门大街85-4
https://nj.lianjia.com/xiaoqu/1411046917767,"1990年建成 ,板楼,暂无信息,无物业管理服务,雨花台区房地产综合开发公司,3栋,29户,/雨花台区雨花新村小区四村13幢103室",共青团路二村,17750,(雨花台雨花新村)共青团路46号
https://nj.lianjia.com/xiaoqu/1411063507946,"2012年建成 ,塔楼/板楼,1.1至2.5元/平米/月,江苏广居物业管理有限公司,江苏格瑞斯特置业有限公司,5栋,653户,暂无门店信息",瑞景国际,16435,(六合六合其它)雄州南路216号
https://nj.lianjia.com/xiaoqu/1411046935598,"2013年建成 ,板楼,1.8至2.9元/平米/月,南京万瑞物业管理有限公司,南京市雨花台区房地产综合开发有限责任公司,14栋,242户,/雨花台区小行路58号",柏悦澜庭,28659,(雨花台安德门)小行路52-1号
https://nj.lianjia.com/xiaoqu/1411042940568,"1996年建成 ,板楼/塔板结合,0.5元/平米/月,街道办事处（委员会）代管物业,南京市白下区房产局,8栋,181户,/秦淮区秣陵路20号苏果超市秣陵路社区店一层105",石榴园,27650,(秦淮新街口)王府大街石榴园18号
https://nj.lianjia.com/xiaoqu/1411063589818,"1986年建成 ,板楼,0.3元/平米/月,街道办事处（委员会）代管物业,南京市白下城市建设(集团)有限公司,6栋,216户,/秦淮区游府西街43-2号",祠堂巷,56378,(秦淮新街口)祠堂巷9号
https://nj.lianjia.com/xiaoqu/1411042755193,"2003年建成 ,塔楼,0.5元/平米/月,街道办事处（委员会）代管物业,南京益来实业有限公司,3栋,351户,/秦淮区马府新街1栋6-3号",金陵御景园,42844,(秦淮常府街)太平南路333号
https://nj.lianjia.com/xiaoqu/1411043416644,"1982年建成 ,板楼/塔板结合,0.1至0.5元/平米/月,街道办事处（委员会）代管物业,南京市土地局建设,12栋,359户,/鼓楼区金贸花园11幢101-105",南昌路,40204,(鼓楼许府巷)南昌路23-36号
https://nj.lianjia.com/xiaoqu/1411044999489,"2000年建成 ,板楼,0.5元/平米/月,街道办事处（委员会）代管物业,南京杰达广告公司房地产分公司,4栋,144户,/建邺区月安街31-10号",悦达新寓,30008,(建邺兴隆大街)江东中路142号
https://nj.lianjia.com/xiaoqu/1411047063528,"1979年建成 ,塔板结合,0.5元/平米/月,街道办事处（委员会）代管物业,南京城市建设开发（集团）总公司,11栋,453户,/鼓楼区黑龙江路19号-1",紫竹林21号,28470,(鼓楼许府巷)中央路
https://nj.lianjia.com/xiaoqu/1411047023289,"2014年建成 ,板楼,2.3至2.8元/平米/月,保利物业管理有限公司江苏分公司,南京郦城房地产开发有限公司,19栋,201户,/建邺区富春江西街31-6号融侨中央花园南街区（29-13）",郦城御园,46099,(建邺奥体)奥体大街199号
https://nj.lianjia.com/xiaoqu/1411000000311,"2003年建成 ,板楼,0.5至0.8元/平米/月,南京华阳物业管理有限公司,南京华阳置业集团有限公司,4栋,174户,/鼓楼区湛江路55-2",华阳佳园华聚苑,36242,(鼓楼凤凰西街)清凉门大街113号
https://nj.lianjia.com/xiaoqu/1411044854863,"2005年建成 ,板楼/塔板结合,暂无信息,无物业管理服务,无开发商,3栋,326户,/秦淮区瑞金北村74幢106室",五十五所宿舍区,34293,(秦淮瑞金路)中山东路522号
https://nj.lianjia.com/xiaoqu/1411100861237,"2013年建成 ,塔楼/板楼/塔板结合,0.9至2.5元/平米/月,业主自筹物业,江苏恒顺杰源投资发展有限公司,22栋,3202户,/鼓楼区幕府东路55号旭日景城29幢55号-43",白云雅居,27137,(鼓楼五塘广场)幕府东路15号
https://nj.lianjia.com/xiaoqu/1411046718010,"2010年建成 ,板楼,暂无信息,无物业管理服务,无开发商,6栋,438户,/鼓楼区建宁路259号",桥景苑,24352,(鼓楼建宁路)幕府西路23号
https://nj.lianjia.com/xiaoqu/1411000000794,"2001年建成 ,塔板结合,1.2元/平米/月,街道办事处（委员会）代管物业,无开发商,2栋,280户,/鼓楼区祁家桥2号10幢105室",雅典花园,37354,(鼓楼湖南路)山西路人和街8号
https://nj.lianjia.com/xiaoqu/1411041513535,"1994年建成 ,板楼,暂无信息,街道办事处（委员会）代管物业,南京鼓楼城镇建设综合开发（集团）公司,4栋,179户,/鼓楼区云南路54号北阴阳营8号小区门口",金银街17号,32121,(鼓楼宁海路)金银街17号
https://nj.lianjia.com/xiaoqu/1411000000723,"1995年建成 ,板楼,0.5元/平米/月,街道办事处（委员会）代管物业,南京鼓楼城镇建设综合开发（集团）公司,1栋,132户,/鼓楼区宝地园7幢1单元102",新城市花园,36061,(鼓楼龙江)草场门大街100号
https://nj.lianjia.com/xiaoqu/1411000000629,"1982年建成 ,板楼,暂无信息,无物业管理服务,南京市政建设开发有限公司,10栋,429户,/鼓楼区祁家桥2号10幢105室",水佐岗48巷5号,33533,(鼓楼水佐岗)水佐岗48巷5号
https://nj.lianjia.com/xiaoqu/1411000000619,"1993年建成 ,板楼,0.3至0.6元/平米/月,业主自筹物业,鼓楼区房产开发公司,5栋,236户,/鼓楼区凤凰西街202号",商校小区,28263,(鼓楼凤凰西街)凤凰西街150号
https://nj.lianjia.com/xiaoqu/1411041197780,"2017年建成 ,板楼,1元/平米/月,无物业管理服务,南京市建邺房地产开发公司,2栋,78户,/秦淮区王府大街107号",圣欧庭,49977,(秦淮新街口)俞家巷18号
https://nj.lianjia.com/xiaoqu/1411046940662,"2003年建成 ,板楼,0.5至3元/平米/月,私人承办物业,仁恒投资（南京）有限公司,24栋,461户,/雨花台区阅城国际花园西门悠然园06幢06-07号",仁恒玉兰山庄,48399,(雨花台宁南)玉兰路2号
https://nj.lianjia.com/xiaoqu/1411041192639,"2005年建成 ,板楼,1元/平米/月,南京先达物业管理有限责任公司,南京金龙蟠房地产开发股份有限公司,2栋,156户,/秦淮区鸿福苑1幢",金龙蟠家苑,39241,(秦淮瑞金路)龙蟠中路318号
https://nj.lianjia.com/xiaoqu/1411043430672,"1996年建成 ,板楼/塔板结合,暂无信息,无物业管理服务,南京市秦淮区房地产开发公司,11栋,306户,/秦淮区瑞金北村32-2号",桃叶渡小区,27729,(秦淮夫子庙)桃叶渡32号
https://nj.lianjia.com/xiaoqu/1411043839225,"2000年建成 ,塔楼/板楼,0.7元/平米/月,街道办事处（委员会）代管物业,南京市白下区房产局,2栋,350户,/秦淮区瑞金路17号",瑞金大厦,25603,(秦淮瑞金路)瑞金路48号
https://nj.lianjia.com/xiaoqu/1411000000656,"1994年建成 ,板楼,0.45元/平米/月,街道办事处（委员会）代管物业,南京城市建设开发（集团）总公司,3栋,155户,/鼓楼区宁工新寓28号106室",天平新村,35979,(鼓楼草场门大街)川江街天平新村
https://nj.lianjia.com/xiaoqu/1411046608002,"1990年建成 ,板楼,暂无信息,无物业管理服务,无开发商,20栋,942户,/鼓楼区热河南路88号",白云亭小区,25194,(鼓楼热河南路)二板桥561号
https://nj.lianjia.com/xiaoqu/1411000000377,"1978年建成 ,板楼/塔板结合,0.4至0.5元/平米/月,业主自筹物业,南京鼓楼城镇建设综合开发(集团)公司,28栋,752户,/玄武区傅厚岗1号富升大厦一楼",鸡鸣山庄,41955,(玄武玄武门)天山路45号
https://nj.lianjia.com/xiaoqu/1411044417924,"1988年建成 ,板楼,0.5元/平米/月,街道办事处（委员会）代管物业,南京城镇建设开发有限公司,11栋,526户,/秦淮区三条巷30号-2",仁义里小区,31191,(秦淮五老村)四条巷仁义里1-32号
https://nj.lianjia.com/xiaoqu/1411043488912,"1989年建成 ,塔板结合,0.5元/平米/月,街道办事处（委员会）代管物业,南京城市建设开发（集团）总公司,9栋,555户,/秦淮区大光路55号-7香格里拉东苑2幢",大光里小区,30031,(秦淮大光路)大光路94号
